Label Name,URL
Central Station Records,https://www.centralstation.com.au/artists
FUTURE CLASSIC,https://www.futureclassic.com/
Chrysalis Records,https://chrysalis-records.com/artists
Island Records,https://www.islandrecords.com/artists/
City Slang,https://shop.cityslang.com/pages/all-artists
Dead Oceans,https://deadoceans.com/artists/
Global Records,https://globalrecords.com/our-artists/
DALE PLAY Records,https://daleplayrecords.com/
Matador,https://matadorrecords.com/artists
Fat Possum,https://fatpossum.com/pages/artists
Nagaswara,https://nagaswara.id/artists/
Rancho Humilde,https://ranchohumilde.com/#artistsSection
RUN FOR COVER RECORDS,https://runforcoverrecords.com/collections
Heaven Music,https://heavenmusic.com/artistas/
Dirty Hit,https://store.dirtyhit.co.uk/artists
Mom+Pop,https://momandpopmusic.com/artists/?show=current
XL Recordings,https://shop.xlrecordings.com/artists
Warner Music Africa,https://www.warnermusicafrica.com/artists
Magic Records,https://www.magicrecords.pl/artysci/
Kill Rock Stars,https://killrockstars.com/
Deadbeats,https://deadbeatsofficial.com/artists
Fantasy Records,https://fantasyrecordings.com/artists/
Bella Union,https://bellaunion.com/pages/artists
(SME Canada) Audiogram,https://www.audiogram.com/artistes/
Codiscos,https://codiscos.com/artists
ARISING EMPIRE,https://arising-empire.com/artists
Big Loud Records,https://bigloud.com/artists/
604 RECORDS,https://www.604records.com/artists/
earMUSIC,https://www.ear-music.net/artists/
TRU THOUGHTS,https://tru-thoughts.co.uk/artists/
Montevideo Music Group,https://www.montevideomusicgroup.com/#artists
Oso Polita Records,https://osopolita.org/artistas/
Secretly Canadian,https://secretlycanadian.com/artists/
Simone Records,https://www.simonerecords.net/
Jagjaguwar,https://jagjaguwar.com/artists/
Broken Bow Records,https://www.bbrmusicgroup.com/
P-Vine Records,https://p-vine.jp/artists
Merge Records,https://www.mergerecords.com/artist
ROUGH TRADE,https://roughtraderecords.com/artists/
FADER LABEL,https://www.faderlabel.com/artists
TH3RD BRAIN,https://th3rdbrain.com/artists/
Frontiers Records S.R.L.,https://www.frontiers.it/artists/
AFM Records,https://www.afm-records.de/en/artists.html
Concord Records,https://www.concordrecords.com/collections/
Ghostly International,https://ghostly.com/artists
Bitbird,https://bitbirdofficial.com/artists
NRGY Music,https://www.nrgymusic.nl/artiesten/
Dualtone Music Group,https://www.dualtone.com/artists
Position Music,https://www.positionmusic.com/artists/group/artists
Bravo musique,https://www.bravomusique.com/en/artists/
Fair Trade Services,https://fairtradeservices.com/artists/
Heavenly Recordings,https://heavenlyrecordings.com/artists/
Stones Throw Records,https://www.stonesthrow.com/artists/
Satélite K,https://www.satelitek.com/artistas
MK Music,https://www.mkmusicusa.com/artists
Polymoon,https://polymoon.nl/#artiesten
Birthday Cake,https://birthdaycakerecords.com/pages/birthday-cake
Toy's Factory,https://www.toysfactory.co.jp/artist/
1161237,https://betternoise.com/artists/
Modern Sky UK,https://www.modernsky.uk/label
Secret City Records,https://www.secretcityrecords.com/artists/
Preach Records,https://preachroster.carrd.co/
VP Records,https://www.vprecords.com/artists/
COLORSxSTUDIOS,https://colorsxstudios.com/artists
Because Music,https://becausemusic.bandcamp.com/artists
Onimusic,https://www.onimusic.com.br/artistas-associados
Transgressive,https://shop.transgressiverecords.com/artists
OCESA Seitrack,https://www.seitrack.mx/elenco
Mascot Records,https://www.mascotlabelgroup.com/collections
Glassnote Music LLC,https://www.glassnotemusic.com/
__________,https://www.teichiku.co.jp/artist-index/all/imperial/
Bonbonbon,https://www.bonbonbon.ca/artistes-tous
Yep Roc Records,https://www.yeproc.com/artists/
PLAYGROUND MUSIC,https://www.playgroundmusic.com/artists
BEC Recordings,https://www.becrecordings.com/artists_
Three Six Zero Recordings,https://threesixzero.com/branding
The Valory Music Co.,https://www.bigmachinelabelgroup.com/artists/
New West Records,https://newwestrecords.com/pages/all-artists
Amplify,https://amplifyrecords.bandcamp.com/artists
Hot Creations,https://hotcreations.com/artists/
Cornelis Music,https://www.cornelismusic.nl/artiesten/
Revealed Recordings,https://www.revealedrecordings.com/artists
Roton Music,https://roton.ro/artists/
Vision,https://visionrecordings.nl/artists
Tone Tree Music,https://www.tonetreemusic.com/
Metal Blade Records,https://www.metalblade.com/us/artists/
Opposition,https://www.weareopposition.com/
Tristar Records,https://www.tristarrecords.com/artist-spotlight
DO_AN MÜZ_K YAPIM,https://www.dmc.com.tr/sanatcilar
Tôt Ou Tard,https://www.totoutard.com/artistes/
Colorize (Enhanced),https://www.colorizemusic.com/roster
Panik Records,https://panikmusic.gr/artists/
Reigning Phoenix Music,https://reigningphoenixmusic.com/all-artists
Coyote Records,https://www.coyoterecords.ca/fr/artistes
Effective Records,https://effective-records.com/#artist
8ball Music,https://www.8ballmusic.nl/#artiesten
Speedstar,https://www.jvcmusic.co.jp/speedstar/-/Artistlist/
Red Bull Records,https://redbullrecords.com/artists/
Centricity Music,https://centricitymusic.com/artists/
Bonsound,https://www.bonsound.com/en/artists/
Foreign Family Collective,https://www.foreignfamilycollective.com/
Polyvinyl Records,https://polyvinylrecords.com/artist
Sons Em Trânsito,https://www.sonsemtransito.com/pt/artistas
Trinity Optima Production,https://www.trinityproduction.com/artists
InsideOutMusic,https://www.insideoutmusic.com/artists
SDR Inc.,https://stardustrecords.jp/artist_list/
Sacred Bones Records,https://www.sacredbonesrecords.com/pages/artists
Dine Alone Music Inc.,https://dinealonerecords.com/artists/
Captured Tracks,https://capturedtracks.com/artists/roster/
Communion Records,https://www.communionmusic.co.uk/artists/
Embassy Of Music,https://www.embassyofmusic.de/artists/
Young,https://y-o-u-n-g.com/management/
Drumcode,https://www.drumcode.se/artists
Cloudkid,https://cloudkid.com/artists/
Provogue,https://www.mascotlabelgroup.com/collections
SPACE SHOWER MUSIC,https://music.spaceshower.jp/artist/
Gahara,https://gahararecords.com/
Giant Music,https://www.giantmusic.com/blogs/artists
Ninetone,https://www.ninetone.com/artists
Big Noise Music Group,https://bignoise.com/roster/artists/
MEXICAN SUMMER,https://mexicansummer.com/artists/
TMRW Music,https://tmrw.com.au/agency/
Acqustic,https://acqustic.com/roster-acqustic/
Thriller Records,https://thrillerrecords.com/pages/artists
Nervous Records,https://nervousnyc.com/artists/
Photo Finish Records,https://www.photofinishrecords.com/artists
"New West Records, LLC",https://newwestrecords.com/pages/all-artists
UKF,https://ukf.com/discover/artists/
M Music Records,https://www.mmusic.asia/#artists
Roc Nation Records,https://www.rocnation.com/music-category/label/
CROSSTOWN REBELS,https://www.crosstownrebels.com/artists/
Ophelia,https://opheliarecords.com/artists/
B3sci Records,https://b3scirecords.com/artists/
Vere Music,https://www.veremusic.com/roster
Viva Records,https://vivavicor.com/artists/
Inside Records,https://www.inside-records.com/artists
Better Now Records,https://www.betternowrecords.de/
Sonido Muchacho,https://sonidomuchacho.com/artistas/
Xploded Music Limited,https://www.xploded.co.uk/xploded-artists/
Fire Talk,https://firetalkrecs.com/artists
Young Poet,https://young-poet.com/artists/
Last Gang,https://shop.lastgang.com/pages/current-roster
Universal Music Sdn Bhd,https://umusic.my/pages/all-artists
River House Artists,https://www.riverhouseartists.com/
Mountain Home Music Company,https://www.mountainhomemusiccompany.com/artist/
Critical Music,https://criticalmusic.com/artists/
Gondwana Records,https://www.gondwanarecords.com/artists
Florecilla Records,https://www.florecilla.com/artists
Scruff of the Neck Records,https://scruffoftheneck.com/pages/artists
